"Year","Area","Street","Street.2"
2011,"Birmingham","Soth Parade Sutton Coldfield",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","SOUTH PARADE",""
2011,"Birmingham","SOUTH PARADE",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","SOUTH PARADE",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade Town Centre Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Town Centre",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Town Centre",""
2011,"Birmingham","South Parade Town Centre Sutton Coldfield",""
2011,"Birmingham","STORNAWAY ROAD CASTLE VALE",""
2011,"Birmingham","STREETLEY ROAD ERDINGTON",""
2011,"Birmingham","Sumburgh Croft",""
2011,"Birmingham","Sutton Coldfield Town Centre",""
2011,"Birmingham","Sutton Coldfield Town Centre",""
2011,"Birmingham","Sutton New Road",""
2011,"Birmingham","Sutton New Road Erdington",""
2011,"Birmingham","SUTTON NEW ROAD ERDINGTON",""
2011,"Birmingham","SUTTON NEW ROAD ERDINGTON",""
2011,"Birmingham","Sutton New Road Erdington B Ham",""
2011,"Birmingham","Sutton Parade",""
2011,"Birmingham","SUTTON PARADE",""
2011,"Birmingham","Sutton Parade",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Tedbury Crescent",""
2011,"Birmingham","Tesco S Express Walsall Road Four Oaks Sutton Coldfield",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Parade Sutton",""
2011,"Birmingham","THE PARADE SUTTON COLDFIELD",""
2011,"Birmingham","The Parade Birmingham Road Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade Sutton Town Centre",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","THE RIDGEWAY",""
2011,"Birmingham","The Ridgeway",""
2011,"Birmingham","The Ridgeway",""
2011,"Birmingham","The Swan PH",""
2011,"Birmingham","Turnhouse Road",""
2011,"Birmingham","Upper Holland Road",""
2011,"Birmingham","Victoria Rd",""
2011,"Birmingham","Victoria Rd",""
2011,"Birmingham","Victoria Rd",""
2011,"Birmingham","Walsh Drive Walmley Sutton Coldfield",""
2011,"Birmingham","Warren Farm Rd",""
2011,"Birmingham","Warren Farm Road",""
2011,"Birmingham","Whitehouse Common Rd",""
2011,"Birmingham","Wilton Rd",""
2011,"Birmingham","Windsor House Jarvis Road Erdington",""
2011,"Birmingham","Witton Lodge Road",""
2011,"Birmingham","Witton Lodge Road Erdington",""
2011,"Birmingham","York Road",""
2011,"Birmingham","Abdon Ave",""
2011,"Birmingham","Alcester Road South",""
